
Br 1 3529.43 97
Br 2 3344.46 97
Br 3 3167.79 97
Br 4 2964.59 97
Br 5 2574.3 97
Br 6 1888.69 97
Br 7 1448.78 97
Br 8 1322.71 97
Br 9 1204.42 97
Br 10 1100.16 97
Br 11 1006.24 97
Br 12 902.643 97
Br 13 806.255 97
Br 14 744.005 97
Br 15 589.834 97
Br 16 511.243 97
Br 17 448.137 97
Br 18 344.501 97
Br 19 269.482 97
Br 20 220.124 97
Br 21 193.401 97
Br 22 169.103 97
Br 23 154.834 97
Br 24 140.454 97
Br 25 128.685 97
Br 26 118.134 97
Br 27 106.492 97
Br 28 96.7736 97
Br 29 89.2289 96
Br 30 79.1698 95
Br 31 61.2541 92
Br 32 38.9272 72
Br 33 27.958 23
