
Cl 1 3278.94 102
Cl 2 3161.37 102
Cl 3 3083.86 102
Cl 4 3021.56 102
Cl 5 2947.79 102
Cl 6 2807.05 102
Cl 7 1575.13 102
Cl 8 1525.48 102
Cl 9 1442.32 102
Cl 10 1396.35 102
Cl 11 1368 102
Cl 12 1322.98 102
Cl 13 1183.15 102
Cl 14 1156.58 102
Cl 15 956.087 102
Cl 16 876.842 102
Cl 17 839.551 102
Cl 18 358.696 102
Cl 19 230.242 102
Cl 20 214.138 102
Cl 21 199.855 102
Cl 22 190.774 102
Cl 23 181.958 102
Cl 24 173.015 102
Cl 25 165.966 102
Cl 26 157.894 102
Cl 27 144.014 102
Cl 28 130.721 102
Cl 29 114.836 102
Cl 30 100.986 100
Cl 31 78.0563 95
Cl 32 57.5869 83
Cl 33 36.3256 43
