../MAPBr/1045-freq/OUTCAR:   5 f  =   90.923615 THz   571.289919 2PiTHz 3032.885229 cm-1   376.029979 meV
../MAPBr/1046-freq/OUTCAR:   5 f  =   66.558529 THz   418.199573 2PiTHz 2220.153493 cm-1   275.264050 meV
../MAPBr/1047-freq/OUTCAR:   5 f  =   89.301906 THz   561.100425 2PiTHz 2978.790863 cm-1   369.323130 meV
../MAPBr/1048-freq/OUTCAR:   5 f  =   83.614260 THz   525.363893 2PiTHz 2789.071427 cm-1   345.800909 meV
../MAPBr/1049-freq/OUTCAR:   5 f  =   90.488816 THz   568.557998 2PiTHz 3018.381905 cm-1   374.231795 meV
../MAPBr/1050-freq/OUTCAR:   5 f  =   81.380696 THz   511.329996 2PiTHz 2714.567753 cm-1   336.563628 meV
../MAPBr/1051-freq/OUTCAR:   5 f  =   83.576678 THz   525.127756 2PiTHz 2787.817816 cm-1   345.645481 meV
../MAPBr/1052-freq/OUTCAR:   5 f  =   45.568985 THz   286.318375 2PiTHz 1520.017666 cm-1   188.458239 meV
../MAPBr/1053-freq/OUTCAR:   5 f  =   85.986255 THz   540.267574 2PiTHz 2868.192647 cm-1   355.610694 meV
../MAPBr/1054-freq/OUTCAR:   5 f  =   73.532462 THz   462.018085 2PiTHz 2452.778843 cm-1   304.105928 meV
../MAPBr/1055-freq/OUTCAR:   5 f  =   82.577247 THz   518.848143 2PiTHz 2754.480373 cm-1   341.512164 meV
../MAPBr/1056-freq/OUTCAR:   5 f  =   42.948562 THz   269.853776 2PiTHz 1432.609791 cm-1   177.621040 meV
../MAPBr/1057-freq/OUTCAR:   5 f  =   84.552605 THz   531.259684 2PiTHz 2820.371224 cm-1   349.681591 meV
../MAPBr/1058-freq/OUTCAR:   5 f  =   86.778480 THz   545.245270 2PiTHz 2894.618425 cm-1   358.887074 meV
../MAPBr/1059-freq/OUTCAR:   5 f  =   82.044635 THz   515.501648 2PiTHz 2736.714373 cm-1   339.309460 meV
../MAPBr/1060-freq/OUTCAR:   5 f  =   84.750897 THz   532.505591 2PiTHz 2826.985544 cm-1   350.501662 meV
../MAPBr/1061-freq/OUTCAR:   5 f  =   81.797198 THz   513.946953 2PiTHz 2728.460753 cm-1   338.286141 meV
../MAPBr/1062-freq/OUTCAR:   5 f  =   90.707589 THz   569.932593 2PiTHz 3025.679407 cm-1   375.136570 meV
../MAPBr/1063-freq/OUTCAR:   5 f  =   87.020893 THz   546.768397 2PiTHz 2902.704461 cm-1   359.889615 meV
../MAPBr/1064-freq/OUTCAR:   5 f  =   50.209930 THz   315.478293 2PiTHz 1674.822929 cm-1   207.651653 meV
../MAPBr/1065-freq/OUTCAR:   5 f  =   71.181124 THz   447.244192 2PiTHz 2374.346647 cm-1   294.381571 meV
../MAPBr/1066-freq/OUTCAR:   5 f  =   90.421361 THz   568.134166 2PiTHz 3016.131852 cm-1   373.952824 meV
../MAPBr/1067-freq/OUTCAR:   5 f  =   65.604089 THz   412.202647 2PiTHz 2188.316788 cm-1   271.316800 meV
../MAPBr/1068-freq/OUTCAR:   5 f  =   86.787722 THz   545.303342 2PiTHz 2894.926722 cm-1   358.925298 meV
../MAPBr/1069-freq/OUTCAR:   5 f  =   87.927652 THz   552.465733 2PiTHz 2932.950688 cm-1   363.639670 meV
../MAPBr/1070-freq/OUTCAR:   5 f  =   81.535519 THz   512.302776 2PiTHz 2719.732086 cm-1   337.203924 meV
../MAPBr/1071-freq/OUTCAR:   5 f  =   86.548769 THz   543.801951 2PiTHz 2886.956078 cm-1   357.937064 meV
../MAPBr/1072-freq/OUTCAR:   5 f  =   46.552812 THz   292.499943 2PiTHz 1552.834607 cm-1   192.527023 meV
../MAPBr/1073-freq/OUTCAR:   5 f  =   82.782526 THz   520.137950 2PiTHz 2761.327747 cm-1   342.361130 meV
../MAPBr/1074-freq/OUTCAR:   5 f  =   50.451801 THz   316.998012 2PiTHz 1682.890868 cm-1   208.651950 meV
../MAPBr/1075-freq/OUTCAR:   5 f  =   46.606256 THz   292.835745 2PiTHz 1554.617325 cm-1   192.748052 meV
../MAPBr/1076-freq/OUTCAR:   5 f  =   48.160314 THz   302.600175 2PiTHz 1606.455098 cm-1   199.175119 meV
../MAPBr/1077-freq/OUTCAR:   5 f  =   90.701758 THz   569.895953 2PiTHz 3025.484893 cm-1   375.112454 meV
../MAPBr/1078-freq/OUTCAR:   5 f  =   90.675513 THz   569.731048 2PiTHz 3024.609439 cm-1   375.003911 meV
../MAPBr/1079-freq/OUTCAR:   5 f  =   84.431530 THz   530.498948 2PiTHz 2816.332603 cm-1   349.180865 meV
../MAPBr/1080-freq/OUTCAR:   5 f  =   33.084423 THz   207.875558 2PiTHz 1103.577515 cm-1   136.826223 meV
../MAPBr/1081-freq/OUTCAR:   5 f  =   76.243830 THz   479.054115 2PiTHz 2543.220351 cm-1   315.319250 meV
../MAPBr/1082-freq/OUTCAR:   5 f  =   88.844722 THz   558.227854 2PiTHz 2963.540852 cm-1   367.432369 meV
../MAPBr/1083-freq/OUTCAR:   5 f  =   90.886892 THz   571.059185 2PiTHz 3031.660301 cm-1   375.878107 meV
../MAPBr/1084-freq/OUTCAR:   5 f  =   44.340699 THz   278.600827 2PiTHz 1479.046461 cm-1   183.378456 meV
../MAPBr/1085-freq/OUTCAR:   5 f  =   86.764865 THz   545.159728 2PiTHz 2894.164296 cm-1   358.830769 meV
../MAPBr/1086-freq/OUTCAR:   5 f  =   82.762853 THz   520.014344 2PiTHz 2760.671545 cm-1   342.279771 meV
../MAPBr/1087-freq/OUTCAR:   5 f  =   85.525920 THz   537.375203 2PiTHz 2852.837519 cm-1   353.706900 meV
../MAPBr/1088-freq/OUTCAR:   5 f  =   90.540424 THz   568.882259 2PiTHz 3020.103356 cm-1   374.445228 meV
