
Br-RETRY 1 3556.64 362
Br-RETRY 2 3333.43 362
Br-RETRY 3 3156.48 362
Br-RETRY 4 2927.84 362
Br-RETRY 5 2570.05 362
Br-RETRY 6 1804.66 362
Br-RETRY 7 1438.81 362
Br-RETRY 8 1298.4 362
Br-RETRY 9 1177.5 362
Br-RETRY 10 1058.02 362
Br-RETRY 11 971.509 362
Br-RETRY 12 871.57 362
Br-RETRY 13 771.171 362
Br-RETRY 14 693.835 362
Br-RETRY 15 573.615 362
Br-RETRY 16 501.53 362
Br-RETRY 17 433.562 362
Br-RETRY 18 335.885 362
Br-RETRY 19 264.728 362
Br-RETRY 20 216.323 362
Br-RETRY 21 187.544 361
Br-RETRY 22 166.843 360
Br-RETRY 23 150.615 360
Br-RETRY 24 137.304 360
Br-RETRY 25 125.274 358
Br-RETRY 26 114.738 356
Br-RETRY 27 104.014 356
Br-RETRY 28 93.5352 355
Br-RETRY 29 84.0455 349
Br-RETRY 30 72.4513 339
Br-RETRY 31 56.8489 312
Br-RETRY 32 37.4644 237
Br-RETRY 33 23.4242 89
