
I 1 3267.2 248
I 2 3153.07 248
I 3 3108.33 248
I 4 3027.11 248
I 5 2931.79 248
I 6 2788.56 248
I 7 1560.55 248
I 8 1512.73 248
I 9 1424.79 248
I 10 1380.16 248
I 11 1356.54 248
I 12 1312.42 248
I 13 1172.43 248
I 14 1147.63 248
I 15 944.678 248
I 16 859.797 248
I 17 824.117 248
I 18 335.059 248
I 19 189.626 248
I 20 156.627 248
I 21 141.553 248
I 22 130.244 247
I 23 118.195 247
I 24 106.165 247
I 25 92.8079 247
I 26 83.8073 247
I 27 77.5386 247
I 28 70.1256 247
I 29 61.4715 247
I 30 52.15 245
I 31 40.8836 233
I 32 27.5551 192
I 33 17.0721 94
